source,target,value
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1DM7axPZU3sHeiirZwJkJ7Gh2YrjqhXeTq,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JeFhP8QEVn1mpZMGQnGwiyeCMvnPedRym,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1MbZGb6iuc4ES7royQMJCBLmDqPWVQhbyJ,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1FKmwkaHPa57UybZY73rKCbRv695vucVvY,10500000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,14YirZ6gxRHKFn1xWXtdzAAB8Mv9EVTSjB,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,12aA6doHHLZmMvoGdiVSCQi32rWmSE8QCu,10500000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1sDSX7B5DLDZJ6S1ui6GccJUZH6dobhNX,10000000
124GAuA4praBMJTxuLL5KWG5j9K5Wjzx5j,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1970000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1960000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1990000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,18Z85SgYqggcy4Y1vreoJs19Jv4ijuG2iQ,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1CLTUBVWAJV54CLtL2fctuQxCS3XJcoL8C,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1990000
